atlanta,http://atlanta.craigslist.org/atl/sys/2095740544.html,"15"" MacBook Pro (MB471LL/A) -",1100,15,2.53,4,320,309.0063
atlanta,http://atlanta.craigslist.org/atl/sys/2103144804.html,"Unibody 17"" Macbook Pro -",1500,10,2.6,4,320,-293.524
atlanta,http://atlanta.craigslist.org/nat/sys/2102282280.html,---------&gt; Newest model MacBook Pro - custom ordered top of the line! Call NO -,1925,15,2.53,4,500,-438.5937
atlanta,http://atlanta.craigslist.org/atl/sys/2102069555.html,MacBook Pro Unibody 2.4GHZ 2GB 250GB -,950,13,2.4,2,250,144.424
atlanta,http://atlanta.craigslist.org/nat/sys/2101321339.html,"MacBook Pro - 13"" -",800,13,2.26,2,160,87.4846
atlanta,http://atlanta.craigslist.org/atl/sys/2101131286.html,Fast MacBook Pro w/ Bluetooth Mouse -,800,15,2.42,4,180,416.6182
austin,http://austin.craigslist.org/sys/2147640456.html,"Macbook Pro 17"" 2.4GHZ 2GBof RAM 500GB Hard Drive 7200RPM -",849,10,2.4,2,500,180.934
austin,http://austin.craigslist.org/sys/2146987683.html,13.3 Macbook pro unibody 2.53GHZ -,1000,13,2.53,4,250,264.2463
austin,http://austin.craigslist.org/sys/2143907668.html,"Apple MacBook Pro 13"" 2.53 gHz 320gb 4gb AppleCare -",1000,13,2.53,4,320,294.3463
austin,http://austin.craigslist.org/sys/2143805982.html,MacBook Pro 15.4 2.4GHz w/4GB RAM - SOFTWARE LOADED!  -,1390,15,2.4,4,500,-59.816
austin,http://austin.craigslist.org/sys/2142647196.html,"MACBOOK PRO CORE 2 DUO 17"" -",899,10,2.1,2,120,-392.979
austin,http://austin.craigslist.org/sys/2140966719.html,"13"" MacBook Pro 2010 w/120GB Vertex 2 SSD -",1300,13,2.4,4,120,-247.876
austin,http://austin.craigslist.org/sys/2139178498.html,"15"" MacBook Pro w/ MS Office H&amp;S -",1500,15,2.4,4,320,-247.216
austin,http://austin.craigslist.org/sys/2137702941.html,"13"" Apple MacBook Pro 2.4 New Condition + Software -",1100,13,2.4,4,250,8.024
austin,http://austin.craigslist.org/sys/2135815426.html,"13.3"" MacBook Pro 2.4ghz - brand new -",1100,13,2.4,4,250,8.024
austin,http://austin.craigslist.org/sys/2135521734.html,"MacBook Pro 15"" Unibody 8 GB RAM 7200 RPM HD -",1300,15,2.4,8,250,-50.116
austin,http://austin.craigslist.org/sys/2135511990.html,"15"" Macbook Pro Like New 2.4 GHz Core 2 Duo 185 GB 2GB Ram New Battery -",900,10,2.4,2,185,-5.516
austin,http://austin.craigslist.org/sys/2135172491.html,"2010 MacBook Pro 13""w/  iLife 2011, iWork 09, Aperture 3  -",995,13,2.4,4,250,113.024
austin,http://austin.craigslist.org/sys/2132779917.html,"MacBook Pro 15"" + CS5 + iphone and accessories worth $3155 -",1500,15,2.52,4,250,-133.1108
austin,http://austin.craigslist.org/sys/2132129396.html,MacBook Pro 15 inch -,900,15,2.4,2,160,270.384
austin,http://austin.craigslist.org/sys/2122798702.html,"Macbook Pro 15"" 2.16GHz 4GB RAM 500GB HD -",950,15,2.16,4,500,91.7736
austin,http://austin.craigslist.org/sys/2119417492.html,"&#63743; 13"" MacBook Pro (newest model) warranty and software &#63743; -",1100,13,2.4,4,250,8.024
austin,http://austin.craigslist.org/sys/2118444231.html,"Apple 17"" MacBook Pro 2.6ghz    Warranty !! -",1200,10,2.6,4,200,-45.124
austin,http://austin.craigslist.org/sys/2110543147.html,FS: Mint MacBook Pro 17 Unibody - 2.8GHZ/4GB/500GB - Extras -,1850,10,2.8,4,500,-325.782
austin,http://austin.craigslist.org/sys/2109461849.html,"IMAC 24""TRADE FOR MACBOOK PRO -",1050,10,2.8,4,320,396.818
austin,http://austin.craigslist.org/msg/2108950651.html,Loaded 2009 MacBook Pro Recording Rig -,1800,15,2.66,8,256,-235.0914
austin,http://austin.craigslist.org/sys/2107689028.html,"Macbook Pro 13"" 2.4Ghz 8GB 256GB SSD (mid-2010) -",1400,13,2.4,8,256,-262.196
austin,http://austin.craigslist.org/sys/2097602393.html,"17"" MacBook Pro 8GB of memory -",1200,17,3.06,8,500,1065.1726
austin,http://austin.craigslist.org/sys/2094901445.html,"13"" Macbook Pro -",900,13,2.0,2,160,-324.96
austin,http://austin.craigslist.org/sys/2090702921.html,"MacBook Pro(MC024LL/A),2.53GHz,4GB,i5,1TB,17"" -",1000,17,2.67,4,500,769.3057
boston,http://boston.craigslist.org/gbs/sys/2148068020.html,Apple Macbook Pro Unibody 2.54 GHz -,1050,15,2.54,4,160,302.2234
boston,http://boston.craigslist.org/gbs/sys/2147056209.html,"2.66ghz 15"" Macbook Pro 8gb ram -",1400,10,2.66,8,320,-94.2214
boston,http://boston.craigslist.org/gbs/sys/2146738942.html,Macbook Pro 15in Unibody -,1400,10,2.66,4,320,-121.4214
boston,http://boston.craigslist.org/gbs/sys/2146027822.html,"MACBOOK PRO - 13"" 2.25 Ghz 2010 Version! - Amazing! -",999,13,2.25,2,250,-84.8325
boston,http://boston.craigslist.org/gbs/sys/2145952480.html,"Apple MacBook Pro 13.3-Inch, 2.4GHz - BRAND NEW -",1080,13,2.4,4,250,28.024
